"厩","","痁","计","キА","夹非畉","キА","夹非畉","キА","夹非畉","キА","夹非畉","キА","夹非畉","キА","夹非畉"
"畂","","",14,0.5,0.31351331437532,0.261904761904762,0.373904586498534,0.595238095238095,0.233097735584356,0.428571428571429,0.32498708530741,0.420634920634921,0.286374897661408,0.43452380952381,0.249312240787719
"","","",22,0.803030303030303,0.284690324824327,0.424242424242424,0.328243975944887,0.787878787878788,0.219317231653256,0.628787878787879,0.281397768620691,0.636363636363636,0.242904766666676,0.647727272727273,0.218871290156205
"","","",36,0.685185185185185,0.327999655869394,0.361111111111111,0.350736187206101,0.712962962962963,0.241066121177451,0.550925925925926,0.310706937008924,0.552469135802469,0.277918835437131,0.564814814814815,0.250880284413869
"瓾","","┚",20,0.75,0.322181888986087,0.25,0.23878346647046,0.783333333333333,0.311100668162243,0.491666666666667,0.27292545519531,0.455555555555556,0.294855169786961,0.516666666666667,0.219815180208948
"","","く",20,0.733333333333333,0.277836251155497,0.466666666666667,0.365148371670111,0.633333333333333,0.373070082624844,0.5,0.319904956645798,0.472222222222222,0.290358385797154,0.53125,0.233707015937146
"","","",40,0.741666666666667,0.297065419138383,0.358333333333333,0.323685155316211,0.708333333333333,0.347457185458145,0.495833333333333,0.293537953107481,0.463888888888889,0.288962843919754,0.523958333333333,0.22406173075301
"","","┚",27,0.604938271604938,0.370227892823121,0.493827160493827,0.325160977494559,0.703703703703704,0.297185276080576,0.506172839506173,0.334872987407873,0.489711934156379,0.248946992720301,0.535493827160494,0.226072852836183
"","","У",28,0.654761904761905,0.379323014647813,0.511904761904762,0.293722285019753,0.75,0.295717026345765,0.601190476190476,0.352356224405262,0.654761904761905,0.314762937939648,0.635416666666667,0.289925357571501
"","","く",28,0.75,0.250513875156827,0.476190476190476,0.247266062339639,0.69047619047619,0.326202383953404,0.619047619047619,0.289945158916831,0.535714285714286,0.265452605745705,0.595238095238095,0.215720018533834
"","","",83,0.670682730923695,0.339352068355356,0.493975903614458,0.286845500009496,0.714859437751004,0.304138260709373,0.576305220883534,0.326454640021214,0.56091030789826,0.283493293736281,0.589357429718876,0.246772229571364
"","","",123,0.693766937669377,0.326692025153126,0.449864498644986,0.304740146815072,0.712737127371274,0.317450003957804,0.550135501355014,0.317187491850094,0.529358626919603,0.28773811037208,0.568089430894309,0.240677046962807
"Θ","","13",30,0.966666666666667,0.101709525543122,0.7,0.281620923987523,0.944444444444444,0.153711012459138,0.85,0.197445370493972,0.859259259259259,0.154217930680331,0.861111111111111,0.118526500369793
"","","5",30,0.922222222222222,0.143394355717359,0.755555555555556,0.194430760328558,0.933333333333333,0.135612700724162,0.916666666666667,0.179131579028836,0.948148148148148,0.0910341387474096,0.911111111111111,0.103652947805459
"","","",60,0.944444444444444,0.125274338000471,0.727777777777778,0.241555432547262,0.938888888888889,0.143820177880572,0.883333333333333,0.189905318861339,0.903703703703704,0.133312406811454,0.886111111111111,0.113233034160133
"地","","",16,0.520833333333333,0.384298302344917,0.291666666666667,0.319142369252113,0.583333333333333,0.375154289247425,0.53125,0.229482106136921,0.465277777777778,0.226691175145591,0.481770833333333,0.206922304930565
"","","",13,0.82051282051282,0.17295817388759,0.615384615384615,0.229579077240398,0.846153846153846,0.220075097257842,0.628205128205128,0.237208360450905,0.615384615384615,0.270707747199439,0.673076923076923,0.170821606852065
"","","",29,0.655172413793103,0.339031751810405,0.436781609195402,0.32248352087665,0.701149425287356,0.337413452585651,0.574712643678161,0.233954135447865,0.532567049808429,0.254378431765484,0.567528735632184,0.211703043691547
